a_units,ownership,house_number,street_name,registration_no,source_url,census_tract,cd,class_,stories,b_units,lot,hpd_no,borough,range_,block
6,PVT,197,EAST 52 STREET,314037,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,86800,17,B,3,0,0040,268443,Brooklyn,197-197,04639
3,PVT,197,EAST 52 STREET,226626,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,22000,6,Y,3,0,0009,73852,Brooklyn,1123-1123,04004
6,PVT,197,EAST 52 STREET,300713,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,87800,17,B,3,0,0021,268167,Brooklyn,146-146,04621
77,PVT,197,EAST 52 STREET,211704,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,6300,4,B,6,0,0030,80102,Brooklyn,751-751,02482
5,PVT,197,EAST 52 STREET,347161,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,87800,17,B,3,0,0004,364997,Brooklyn,888-888,04605
4,PVT,197,EAST 52 STREET,301467,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,87000,17,B,2,0,0064,265980,Brooklyn,355-355,04674
6,PVT,197,EAST 52 STREET,350942,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,87800,17,B,3,0,0019,268639,Brooklyn,54-54,04605
6,PVT,197,EAST 52 STREET,350942,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,87800,17,B,3,0,0019,268639,Brooklyn,54-54,04605
6,PVT,197,EAST 52 STREET,350942,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,87800,17,B,3,0,0019,268639,Brooklyn,54-54,04605
3,PVT,197,EAST 52 STREET,220880,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,24000,11,G,3,0,0005,97790,Brooklyn,584-584,04021
3,PVT,197,EAST 52 STREET,220880,https://hpdonline.hpdnyc.org/HPDonline/provide_address.aspx?subject=&env_report=REMOTE_HOST%2CHTTP_ADDR%2CHTTP_USER_AGENT&bgcolor=%23FFFFFF&required=p2&p1=3&p2=197&p3=EAST+52+STREET,24000,11,G,3,0,0005,97790,Brooklyn,584-584,04021
